OBJECTID,GLOBAL_ID,COURSE,TYPE_CODE,DISTHORZ,SYS_ID,SYS_TYPE,REFPT_ID,REFPT_TYPE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Length
11252,AC83D2DE-CE1B-4616-9D83-1F02356426D5,55.12,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,92DFBABA-8630-482B-AA91-B84C1A78D51C,2,0,0,1,0,0,0,0.539380444437852
11253,75C51F2D-00EB-47DF-A338-77FA86FA56F2,269.81,4,22.47,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,A4454B7D-760B-4582-B6F4-1E9D3CB873F4,2,0,0,1,0,0,0,0.541719540906506
11254,29856472-25DE-427B-9CBB-639C044745E9,225.21,4,,57BC3644-9950-4CC6-B2F7-ECAF55FC76B8,NAVAID,C994062E-4C61-404A-B2EC-92C73EE2EDB5,2,0,0,1,0,0,0,0.575271343910845
11255,F1820DC2-731E-4957-AF00-3FE9BDE8EB13,101,4,25,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,025FDC22-D292-407D-8F14-B2E9F04B71DC,2,0,0,1,0,0,0,0.585840257602736
11256,6DAE51F4-74D8-47C4-A89A-AB8451A1BE45,86,4,25.29,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,D9233A0E-202F-4539-AFB3-6BF356022007,2,0,0,1,0,0,0,0.601004814706147
11257,021C3B05-59DA-4F0B-B179-EDAFD35C4FD0,191,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,49FD8A82-4AFC-4E07-9505-667258A607A8,2,0,0,1,0,0,0,0.606593322882027
11258,95B51C43-4EAB-4060-BC45-C91DB7AD3F4A,21.26,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,E44225F3-9272-445A-AF4F-1279532DF345,2,0,0,1,0,0,0,0.617650468110345
11259,EC8A85D4-479E-47EA-88B9-CFE97060B251,74,4,,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,61E63908-99FA-4679-8DA8-2CBD6ED05233,2,0,0,1,0,0,0,0.618779765510346
11260,42DB80D3-DC4D-48AC-BCED-B10AF9E8E277,334.27,4,,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,271C68AD-71A5-417F-87DA-D7AA90146A78,2,0,0,1,0,0,0,0.629283047813125
11261,1227896A-42DC-4F72-8E5B-800E181A3CE0,107,4,31.91,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,BC6C287C-31B2-4017-841B-35FD72A3BF11,2,0,0,1,0,0,0,0.631348877265993
11262,E043FC46-9B34-4674-B4C8-EE6C0CACAC95,124.12,4,34.26,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,B8F2DA1D-3B93-4E3E-A827-49758DEEA137,2,0,0,1,0,0,0,0.634313938481572
11263,E624AD91-4C81-42A6-B90B-CDED4478191A,357.93,4,38.56,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,655BD703-905A-4CA2-A697-F35E74785A8A,2,0,0,1,0,0,0,0.644120019487787
11264,32F2BA41-D6FA-4EAD-9C48-59CF7DD23192,343.19,4,,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,A00087CA-DF59-4662-9636-61D6DE3E26B9,2,0,0,1,0,0,0,0.645807695079569
11265,CE718A67-372E-4DCB-AC25-D045D07880CE,338.18,4,,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,C4442F00-E23A-4573-9436-93DBCA6070ED,2,0,0,1,0,0,0,0.650975229287578
11266,476A4ECA-F57F-43B1-A6AA-44E2211BF17A,127.35,4,33.17,8953CE9B-8188-49FD-9D9E-C36F26570779,NAVAID,7FBD09B4-8DB9-46DC-955A-8124057A89AB,2,0,0,1,0,0,0,0.652110580306776
11267,7D71F197-3354-49D0-A7AD-7ED79434B62A,115.76,4,29.75,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,5080A27F-040F-49A1-9400-E0BEAE3E5368,2,0,0,1,0,0,0,0.654272110889685
11268,1154791F-C36F-45D1-8BA6-BA03CE5EB1BD,251.26,4,31.67,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,2A8DF422-AB3E-40DC-88DA-A31D2A9FE0ED,2,0,0,1,0,0,0,0.668214646419807
11269,75F04277-6F04-44C0-A85D-4B7B4E287ADD,55.12,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,6184749C-100E-44B8-9382-DF0950FCA178,2,0,0,1,0,0,0,0.6726412262395
11270,BCF640FA-7A34-4E04-9B50-DF9CD6AB6506,340,4,40,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,1C9A18C3-3CD6-47E5-A244-2A55EBC82B65,2,0,0,0,1,0,0,0.680271318697157
11271,19796E65-35A9-41D3-92E2-159CFCC01D89,124.12,4,40,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,85B3996B-A187-4B63-A6B7-B377FEA3E369,2,0,0,1,0,0,0,0.740340293441473
11272,5F103305-81E4-46A1-A1A2-9DFA087FD160,258.89,4,,57BC3644-9950-4CC6-B2F7-ECAF55FC76B8,NAVAID,76C328E9-1D43-42B4-BDFD-666E8687D0EC,2,0,0,1,0,0,0,0.796654604255824
11273,2E321304-203D-47D0-8321-F55DDA710EA9,334.99,4,,8953CE9B-8188-49FD-9D9E-C36F26570779,NAVAID,8B32AA8F-BEF3-4182-B157-A2AC331CC881,2,0,0,1,0,0,0,0.80954414622057
11274,B7C9B4AE-6B8B-4618-802A-1567D143D74F,68,4,33.69,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,B7D12A45-D338-4F91-80F2-5BC4E3CB27BA,2,0,0,1,0,0,0,0.820675755404662
11275,C79583A1-253F-457C-A283-B90518F9D649,355,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,EB63A47C-574F-4618-BC2D-6DE8C03E8B2C,2,0,0,0,1,0,0,0.821700615232197
11276,3FE8DB4F-DDB7-4D8D-AF68-3BEBF77296B4,277.61,4,36.94,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,BDE4F0EA-6B5C-4E2C-97FD-170768BE8011,2,0,0,1,0,0,0,0.830906748003048
