OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,APRON_OPER,Shape__Area,Shape__Length
774,CRW,KCRW,GENERAL AVIATION APRON,1,2,6.83817233948503e-06,0.0204272926570736
775,CRW,KCRW,UNK,1,2,6.73792328598211e-08,0.00134789049586659
776,CRW,KCRW,UNK,1,2,7.88214720159885e-07,0.00389504659604593
777,CRW,KCRW,FLIGHT SCHOOL APRON,1,2,2.79714868156589e-07,0.00259829725350563
778,CRW,KCRW,UNK,1,2,5.34037098987028e-08,0.000984692418073715
779,JFK,KJFK,UNK,1,2,3.37619151196122e-05,0.060675390580417
780,JFK,KJFK,UNK,1,2,1.7700583612168e-06,0.00679923219398715
781,JFK,KJFK,UNK,1,2,1.43506031236029e-06,0.00574594911573233
782,JFK,KJFK,UNK,1,2,1.51556721448287e-05,0.0290383630513079
783,JFK,KJFK,UNK,1,2,7.72672933635477e-06,0.0168283267869825
784,CRW,KCRW,HOT FUEL PITS,1,2,2.72827436913203e-07,0.00214237112775639
785,CRW,KCRW,HOT FUEL PITS,1,2,2.72491096669353e-07,0.00214131558831675
786,CRW,KCRW,GENERAL AVIATION PARKING,1,2,1.61992375069531e-08,0.000642857708890445
787,ALW,KALW,UNK,1,2,1.02313651950681e-06,0.0083948431251698
788,ALW,KALW,TERMINAL APRON,1,2,1.53532454023192e-06,0.00692103515312973
789,ALW,KALW,GENERAL AVIATION PARKING,1,2,8.62479942592698e-06,0.0234000780168605
790,MIA,KMIA,UNK,1,2,1.29990578641437e-05,0.0358014054167731
791,TUS,KTUS,UNK,1,2,5.18235735786493e-06,0.036448321151405
792,TUS,KTUS,AIR NATIONAL GUARD ARM/DE-ARM PAD,1,2,1.40791440223637e-06,0.00728011565873358
793,TUS,KTUS,UNK,1,2,6.05869308856199e-06,0.013421341330267
794,TUS,KTUS,UNK,1,2,1.58073789502562e-06,0.0116038983702905
795,CRW,KCRW,CORPORATE RAMP,1,2,3.85020939575043e-08,0.000819604552019455
796,TUS,KTUS,UNK,1,2,5.75106923861313e-07,0.00312097295160283
797,TUS,KTUS,UNK,1,2,7.26794496586081e-07,0.00750367948863075
798,TUS,KTUS,UNK,1,2,1.47984610521235e-06,0.01050391942516
799,TUS,KTUS,SOUTH RAMP,1,2,1.99011515178427e-06,0.019682293313111
800,TUS,KTUS,UNK,1,2,4.65342964162119e-08,0.00105826697909304
801,TUS,KTUS,UNK,1,2,1.07141659100307e-06,0.00556098773055939
802,TUS,KTUS,EAST RAMP,1,2,8.03234320301272e-06,0.0114088288758218
803,SWF,KSWF,ANG RESTRICTED AREA,1,2,2.15294203371741e-05,0.0243529396736286
804,SWF,KSWF,UNK,1,2,5.79447555537627e-06,0.0129504395928393
805,SWF,KSWF,COMPASS CALIBRATION PAD,1,2,2.67204541160027e-07,0.00209305282761167
806,CLT,KCLT,UNK,1,2,3.41328266446894e-06,0.0139246630128409
807,LGB,KLGB,UNK,1,2,9.03965664131312e-06,0.026438982526976
808,LGB,KLGB,UNK,1,2,5.79834776887815e-07,0.00541125802718316
809,TUS,KTUS,U.S. CUSTOMS,1,2,7.19955778549775e-07,0.00393237097470835
810,TUS,KTUS,NORTH RAMP,1,2,1.06379625190722e-06,0.00668547466625365
811,CLT,KCLT,UNK,1,2,3.93215486838017e-07,0.00359231900628877
812,CLT,KCLT,GENERAL AVIATION RAMP,1,2,3.00015893571481e-06,0.00729988864376011
813,CLT,KCLT,UNK,1,2,6.11635186942294e-10,0.000111773087913195
814,CLT,KCLT,UNK,1,2,1.46222419061814e-07,0.00354801512500316
815,CLT,KCLT,UNK,1,2,2.9991201699886e-07,0.00250200696915917
816,CLT,KCLT,UNK,1,2,3.00610736303497e-09,0.000228460646786137
817,CLT,KCLT,UNK,1,2,1.84638565770001e-07,0.002199236005436
818,CLT,KCLT,RON PARKING,1,2,4.32392016591621e-06,0.00832088192555353
819,CLT,KCLT,UNK,1,2,1.03380898508476e-07,0.0012870620139031
820,TUS,KTUS,UNK,1,2,1.24695930026064e-06,0.00600134255500226
821,TUS,KTUS,UNK,1,2,2.62768610559752e-07,0.00389185345002789
