X,Y,OBJECTID,GLOBAL_ID,CARTOANGLE,ENRINFO_ID,DISTANCE1,DISTANCE2,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-153.412059775,60.8764664340001,126,18BEA917-5077-49B2-8E56-5494FBE6047A,284.53,3E6FC1B0-D814-4C02-A8EF-A8755A6BA720,67,66.47,1,0,0,0,0,0
-161.995778769,62.7178850870001,127,48ECD394-277B-4859-8903-B5CCA7B4990A,92.23,9725FCC7-32ED-479B-866F-465963A89570,69,50.16,1,0,0,0,0,0
-115.824669456,45.8869277680001,128,112A9C77-0B0C-4FE8-BC66-06D6AF9D399C,123.87,DEA0EBCA-0A68-4790-BC18-8B4EB293129B,53,89.75,0,0,1,0,0,0
-113.36725964,47.999684244,129,ED35E2C0-C199-4178-9955-D54E76712022,111.3,BA450B21-7546-4BAD-8786-D5EF8D013456,35,85.77,0,0,1,0,0,0
-92.817877298,34.539016486,130,832C14E8-69F0-4510-8269-C75B9340FF65,74.94,1B4FAE1E-8CBB-44BB-900B-CAC31ED0CEEA,14,32.64,0,0,1,0,0,0
-103.867500418,34.7892443270001,131,F793A92A-32A7-42E0-AFE6-977083CA57F5,108.13,F821F67F-2991-4D46-901F-6AC3B99C11D7,61,53.82,0,0,1,0,0,0
-115.581515243,33.616775385,132,5B4053B8-10DF-4CF8-8A64-1672095A2C85,91.18,6C7FC13A-B022-4EAC-9814-04167DEDC4EB,29,41.12,0,0,1,0,0,0
-116.454820215,32.770151619,133,1A16EF28-B278-43C8-BE6F-DA73538FBE89,90.86,909A8A9B-4C82-4E0F-B745-159BE2CC9DDA,39,47.89,0,0,1,0,0,0
-120.86743208,38.8404549960001,134,474F260E-3AA1-4B5A-B350-B34218D1BB23,53.32,9E9F6B3E-690F-456E-A166-F480D46CEF9A,40,34.59,0,0,1,0,0,0
-104.405724622,32.7514345370001,135,6B37B035-18B2-4BA2-84FF-63BD8C19F406,342.95,F473816B-A061-45A4-B6FC-B9406E7B5E9F,31,36.74,0,0,1,0,0,0
-105.794434851,34.6867741820001,136,36E79234-4020-4EEA-AE46-AEAA8873CEF9,343.26,9EA1F0DB-D383-4002-AFDC-E935F34BA392,20,24.13,0,0,1,0,0,0
-105.243531785,33.947852853,137,D4F3B5C5-A633-4BA8-9B0F-53C4ABC6B387,319.72,F182E046-A5BB-478C-871C-D8810AF7DAA9,48,33.18,0,0,1,0,0,0
-108.101695698,39.363261492,138,F8823CA1-68D1-4507-930A-933BF7E5B37F,60.41,3648BE61-3441-4674-AC0E-A5ACAF646D11,37,20.33,0,0,1,0,0,0
-101.19734818,32.10967931,139,4D5577DC-8955-47AF-BFB0-0AC03E25B0D5,82.97,610B89C6-5A10-45F0-8B5B-5C0BF1F4EC72,51,70.71,0,0,1,0,0,0
-119.2383379,34.782083797,140,67849807-78DA-4A4A-8AEF-0A3CA1E76A00,325.33,4B7C2D4C-9199-430B-B4BD-093BBBD1C61D,31,63.33,0,0,1,0,1,0
-75.000248185,39.8500075420001,141,50EC5535-1B93-45D8-92B3-EB7CCCE8C0D6,47.44,157A251E-CC63-4228-B602-5F8105CCE25A,19,31.44,0,0,1,0,1,0
-96.222024195,32.519702087,142,88138F61-AB21-4D01-9F2F-4016444708B2,359.43,8E11BFCF-4EA8-4528-906B-036E9F42B7C8,20,60.95,0,0,1,0,1,0
-113.886671183,33.5354668850001,143,424BFD7F-9C92-4784-A580-131A13AA36D5,94.49,EECFE9A0-230D-42AA-A4A1-824A5E16F0EB,44,53.52,0,0,1,0,0,0
