OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,TWY_OPER,Shape__Area,Shape__Length
10965,FSM,KFSM,A,1,2,6.53574488751474e-07,0.00583661871555541
10966,FSM,KFSM,A,1,2,1.96327646147243e-07,0.00229656286526146
10967,FSM,KFSM,G,1,2,1.28598480867576e-07,0.00179981469224201
10968,FSM,KFSM,G,1,2,9.0524281404214e-08,0.00127092685547256
10969,FSM,KFSM,A,1,2,1.41816614710258e-07,0.00180889249387396
10970,FSM,KFSM,A,1,2,3.59970954377786e-07,0.00353291222155267
10971,FSM,KFSM,UNK,1,2,1.46129965440667e-07,0.00233144034680435
10972,FSM,KFSM,B,1,2,9.93867549387711e-08,0.00140795354748328
10973,FSM,KFSM,B,1,2,1.65868534240943e-07,0.00174619398286069
10974,FSM,KFSM,B,1,2,6.32692987695416e-07,0.00633575241166236
10975,FSM,KFSM,G,1,2,1.57686208221517e-07,0.00180722726124896
10976,FSM,KFSM,B_G,1,2,3.4425850946318e-07,0.00254101115056919
10977,FSM,KFSM,B,1,2,3.51012147958418e-07,0.00352337542700888
10978,PLN,KPLN,UNK,1,2,6.45871667910233e-08,0.00113475180584578
10979,PLN,KPLN,UNK,1,2,2.26104561774909e-08,0.000680130040761733
10980,PLN,KPLN,UNK,1,2,3.86499021658854e-08,0.00126549185039093
10981,PLN,KPLN,UNK,1,2,2.15239343063188e-08,0.000710871517325461
10982,PLN,KPLN,UNK,1,2,2.37309898281669e-08,0.000866903474146954
10983,PLN,KPLN,UNK,1,2,1.64588391431478e-08,0.000707776764530136
10984,PLN,KPLN,UNK,1,2,3.44809343924557e-08,0.000915543370088016
10985,PLN,KPLN,UNK,1,2,3.6903193341431e-08,0.00101345688823516
10986,PLN,KPLN,UNK,1,2,5.64024808906438e-08,0.00134291264607562
10987,PLN,KPLN,UNK,1,2,2.22577998653523e-08,0.000793223759401074
10988,PLN,KPLN,UNK,1,2,1.40794327307958e-08,0.000572544413846386
10989,PLN,KPLN,UNK,1,2,1.4522053049448e-08,0.000662789114315058
10990,AZO,KAZO,C,1,2,4.27999064057938e-07,0.00314542650910329
10991,AZO,KAZO,E,1,2,9.60823037920305e-08,0.00175976637954278
10992,AZO,KAZO,A,1,2,9.03366014866e-08,0.00171007046609665
10993,AZO,KAZO,C_UNK,1,2,2.72632283790375e-07,0.00273896781289649
10994,AZO,KAZO,UNK,1,7,4.23837946073036e-07,0.00283390392329207
