X,Y,OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-105.522233889,44.2709047220001,1895,835C22EC-053A-4F11-B4BE-7FA46DB48CFA,GC,DERYK,44-16-15.252N,105-31-20.045W,H24,,4674.1,380,9,,1,,891CA765-B58E-47AB-B6D4-010B7FBF8186,,,1,0,9,0,0,0,1,0,0,0
-105.543485,44.347771111,1896,3F310EDD-F3BA-4F3C-8E68-09EED6B28B20,GCC,GILLETTE,44-20-51.983N,105-32-36.549W,H24,,4336.2,114.6,9,,3,,DEC8EB21-605C-47C3-9BE3-0147D09D3457,0,,1,0,9,0,0,0,1,1,0,0
-105.543485,44.347771111,1897,2747AF76-8080-4E3A-AE0B-9BA6BAB26000,GCC,GILLETTE,44-20-51.983N,105-32-36.549W,H24,,4336.2,114.6,9,,2,,DEC8EB21-605C-47C3-9BE3-0147D09D3457,0,93X,1,0,9,0,0,0,1,1,0,0
-108.082915278,44.511518333,1898,C3345212-1541-4C29-BE6B-5F7185AC6A97,GEY,GREYBULL,44-30-41.466N,108-04-58.495W,H24,,3920.1,275,10,,1,,B7D2A4F8-CBE8-41E7-9A1C-42C1AAD91C37,,,1,0,10,0,0,0,1,0,0,0
-104.7142825,42.2399225,1899,D6CC2683-D098-4701-A719-5F3D847EC7F2,GYZ,CAMP GUERNSEY,42-14-23.721N,104-42-51.417W,H24,,4489,280,11,,1,,E4374A46-0480-4F29-B3BE-609EB223328F,,,1,0,11,0,0,0,1,0,0,0
-110.731685278,43.6210375000001,1900,B6BFAD0B-7CDB-4D44-A03F-0860D2F03FE5,JAC,JACKSON,43-37-15.735N,110-43-54.067W,H24,,6452,115.4,13,,3,,6A2A315E-DBC2-4795-9AF5-7755F7E8B068,1,,1,0,13,0,0,0,1,0,0,0
-110.731685278,43.6210375000001,1901,90571B28-9414-449A-A8B3-C35A628501C6,JAC,JACKSON,43-37-15.735N,110-43-54.067W,H24,,6452,115.4,13,,2,,6A2A315E-DBC2-4795-9AF5-7755F7E8B068,1,101X,1,0,13,0,0,0,1,0,0,0
-105.7209325,41.3378200000001,1902,D5A106D3-049E-47DC-AF82-82534C59B745,LAR,LARAMIE,41-20-16.153N,105-43-15.358W,H24,,7299.4,117.6,14,,3,,E8389B38-EDD4-4224-8F80-5105D8DE3829,2,,1,0,14,0,0,0,1,1,0,0
-105.7209325,41.3378200000001,1903,07FB7F63-1E12-4E35-A5B4-3FC67062D301,LAR,LARAMIE,41-20-16.153N,105-43-15.358W,H24,,7299.4,117.6,14,,2,,E8389B38-EDD4-4224-8F80-5105D8DE3829,2,123X,1,0,14,0,0,0,1,1,0,0
-106.004283889,41.8455222220001,1904,2B199D9D-4D14-417A-97B7-194FAE17FE94,MBW,MEDICINE BOW,41-50-43.880N,106-00-15.422W,H24,,7000,116.85,14,,3,,2CAC0760-2488-4E8E-89F4-71DB208934AF,2,,1,0,14,0,0,0,1,1,0,0
